-10,1.0871
-9.95,1.1324
-9.9,1.1863
-9.85,1.2484
-9.8,1.318
-9.75,1.3945
-9.7,1.4769
-9.65,1.5646
-9.6,1.6567
-9.55,1.7522
-9.5,1.8501
-9.45,1.9496
-9.4,2.0495
-9.35,2.149
-9.3,2.247
-9.25,2.3425
-9.2,2.4346
-9.15,2.5223
-9.1,2.6048
-9.05,2.6813
-9,2.751
-8.95,2.8132
-8.9,2.8672
-8.85,2.9126
-8.8,2.9488
-8.75,2.9756
-8.7,2.9927
-8.65,2.9998
-8.6,2.9969
-8.55,2.9841
-8.5,2.9614
-8.45,2.9291
-8.4,2.8876
-8.35,2.8371
-8.3,2.7784
-8.25,2.7118
-8.2,2.6381
-8.15,2.5581
-8.1,2.4724
-8.05,2.3821
-8,2.2879
-7.95,2.1909
-7.9,2.0919
-7.85,1.992
-7.8,1.8922
-7.75,1.7935
-7.7,1.6969
-7.65,1.6033
-7.6,1.5136
-7.55,1.4288
-7.5,1.3497
-7.45,1.2771
-7.4,1.2117
-7.35,1.1543
-7.3,1.1052
-7.25,1.0651
-7.2,1.0343
-7.15,1.0132
-7.1,1.002
-7.05,1.0007
-7,1.0094
-6.95,1.028
-6.9,1.0563
-6.85,1.094
-6.8,1.1408
-6.75,1.1962
-6.7,1.2596
-6.65,1.3304
-6.6,1.4079
-6.55,1.4913
-6.5,1.5798
-6.45,1.6725
-6.4,1.7685
-6.35,1.8668
-6.3,1.9664
-6.25,2.0663
-6.2,2.1656
-6.15,2.2632
-6.1,2.3582
-6.05,2.4496
-6,2.5366
-5.95,2.6181
-5.9,2.6935
-5.85,2.762
-5.8,2.8228
-5.75,2.8755
-5.7,2.9193
-5.65,2.954
-5.6,2.9792
-5.55,2.9946
-5.5,3
-5.45,2.9954
-5.4,2.9809
-5.35,2.9566
-5.3,2.9228
-5.25,2.8797
-5.2,2.8278
-5.15,2.7677
-5.1,2.6999
-5.05,2.6251
-5,2.544
-4.95,2.4575
-4.9,2.3665
-4.85,2.2718
-4.8,2.1743
-4.75,2.0752
-4.7,1.9752
-4.65,1.8755
-4.6,1.7771
-4.55,1.6809
-4.5,1.5879
-4.45,1.499
-4.4,1.4151
-4.35,1.337
-4.3,1.2656
-4.25,1.2015
-4.2,1.1454
-4.15,1.0978
-4.1,1.0593
-4.05,1.0301
-4,1.0106
-3.95,1.0011
-3.9,1.0015
-3.85,1.0118
-3.8,1.0321
-3.75,1.062
-3.7,1.1013
-3.65,1.1496
-3.6,1.2063
-3.55,1.271
-3.5,1.343
-3.45,1.4216
-3.4,1.5059
-3.35,1.5952
-3.3,1.6885
-3.25,1.7849
-3.2,1.8835
-3.15,1.9832
-3.1,2.0831
-3.05,2.1822
-3,2.2794
-2.95,2.3739
-2.9,2.4646
-2.85,2.5507
-2.8,2.6313
-2.75,2.7055
-2.7,2.7728
-2.65,2.8323
-2.6,2.8835
-2.55,2.9258
-2.5,2.9589
-2.45,2.9825
-2.4,2.9962
-2.35,2.9999
-2.3,2.9937
-2.25,2.9775
-2.2,2.9516
-2.15,2.9162
-2.1,2.8716
-2.05,2.8183
-2,2.7568
-1.95,2.6878
-1.9,2.6119
-1.85,2.5298
-1.8,2.4425
-1.75,2.3508
-1.7,2.2555
-1.65,2.1577
-1.6,2.0584
-1.55,1.9584
-1.5,1.8589
-1.45,1.7608
-1.4,1.665
-1.35,1.5726
-1.3,1.4845
-1.25,1.4015
-1.2,1.3245
-1.15,1.2543
-1.1,1.1915
-1.05,1.1368
-1,1.0907
-0.95,1.0537
-0.9,1.0262
-0.85,1.0083
-0.8,1.0004
-0.75,1.0025
-0.7,1.0146
-0.65,1.0364
-0.6,1.068
-0.55,1.1088
-0.5,1.1585
-0.45,1.2167
-0.4,1.2826
-0.35,1.3558
-0.3,1.4354
-0.25,1.5206
-0.2,1.6106
-0.15,1.7045
-0.1,1.8013
-0.05,1.9002
0,2
0.05,2.0998
0.1,2.1987
0.15,2.2955
0.2,2.3894
0.25,2.4794
0.3,2.5646
0.35,2.6442
0.4,2.7174
0.45,2.7833
0.5,2.8415
0.55,2.8912
0.6,2.932
0.65,2.9636
0.7,2.9854
0.75,2.9975
0.8,2.9996
0.85,2.9917
0.9,2.9738
0.95,2.9463
1,2.9093
1.05,2.8632
1.1,2.8085
1.15,2.7457
1.2,2.6755
1.25,2.5985
1.3,2.5155
1.35,2.4274
1.4,2.335
1.45,2.2392
1.5,2.1411
1.55,2.0416
1.6,1.9416
1.65,1.8423
1.7,1.7445
1.75,1.6492
1.8,1.5575
1.85,1.4702
1.9,1.3881
1.95,1.3122
2,1.2432
2.05,1.1817
2.1,1.1284
2.15,1.0838
2.2,1.0484
2.25,1.0225
2.3,1.0063
2.35,1.0001
2.4,1.0038
2.45,1.0175
2.5,1.0411
2.55,1.0742
2.6,1.1165
2.65,1.1677
2.7,1.2272
2.75,1.2945
2.8,1.3687
2.85,1.4493
2.9,1.5354
2.95,1.6261
3,1.7206
3.05,1.8178
3.1,1.9169
3.15,2.0168
3.2,2.1165
3.25,2.2151
3.3,2.3115
3.35,2.4048
3.4,2.4941
